Waiter_ID,Full_Name,Work_Experience
103,Elana Kippax,94.33
104,Phillida Kleisle,9.21
105,Garrek Dohrmann,53.13
106,Courtnay Smallthwaite,95.91
107,Ulick Kilkenny,89.08
108,Leisha Gouldie,51.1
109,Jinny Esland,38.63
110,Lizette Maddison,13.48
111,Latashia Kloss,20.77
112,Archer Iron,44.95
113,Harriet Ames,16.97
114,Cassandra Huddlestone,88.03
115,Mar Codd,81.96
116,Elbertine Snoxall,57.65
117,Bryce Bourdas,29.16
118,Lauraine Ivasyushkin,5.14
119,Guillemette Kiehne,55.68
120,Page Rottenbury,41.95
121,Louie Twigg,20.47
122,Giuditta Maevela,91.51
123,Eward Peace,17.66
124,Barton Collopy,33.06
125,Derward Coggan,46.31
126,Ignazio Clara,62.34
127,Roderich Benneyworth,23.85
128,Gabbi Gothup,18.13
129,Reeva Gres,55.47
130,Berte Triggle,64.4
131,Abigael Vasilmanov,93.65
132,Chastity Balden,45.39
133,Evelyn Bletcher,26.01
134,Irvin Vasyukhnov,54.65
135,Vally Daldry,31.98
136,Tonya Gallahue,96.57
137,Dunc Waddilow,53.56
138,Gwenny Gwinn,37.88
139,Adrianna Ramelet,59.11
140,Russ Strotton,4.51
141,Regine Lamberton,78.06
142,Glynn Breen,19.12
143,Karin O'Lyhane,42.09
144,Heywood Burdis,82.06
145,Antonina Lerway,79.02
146,Isaac Judd,78.13
147,Batholomew Reynolds,46.62
148,Ruperta Fante,91.67
149,Martainn Ranscome,46.94
150,Mallissa Lewinton,80.06
151,Tonie Hordle,43.61
152,Edgardo Ellesworthe,35.54
153,Minetta Loughnan,59.64
154,Lurlene Rodenhurst,13.45
155,Betty Guerreru,71.51
156,Sue Faill,77.72
157,Mac Yakunchikov,28.42
158,Hesther Pick,62.65
159,Etta Wiles,98.34
160,Karee Linton,39.56
161,Cullin Applewhite,10.76
162,Stearn Coggles,85.56
163,Kaspar Eburah,4.44
164,Arvin Jelfs,83.13
165,Bunny Rimington,20.77
166,Kyle Flemmich,67.88
167,Ciel Decruse,87.57
168,Allayne Aspole,25.67
169,Susie Borgars,33.37
170,Davina O'Deegan,56.55
171,Johnathon Cornely,30.75
172,Catherin Mityakov,12.04
173,Hamlen Lemmanbie,91.39
174,Faith Doumerque,20.56
175,Misti Gobeau,50.18
176,Vinny Allsup,51.42
177,Brig Yallowley,5.83
178,Sampson Peart,60.29
179,Germain Abdon,60.55
180,Babs Woakes,40.7
181,Nolly Boyd,27.38
182,Abel Grigorescu,4.13
183,Joela Drohane,48.71
184,Susann Phorsby,88.66
185,Teddy Culpan,11.33
186,Dasya Holehouse,5.16
187,Byrann Bray,34.68
188,Lizette Landeg,5.75
189,Ofilia Cornill,80.31
190,Max Artinstall,31.75
191,Cortney Elloway,44.74
192,Ashley Donaghy,68.54
193,Philippine MacCoughen,61.31
194,Alic MacLardie,72.01
195,Lanni Child,94.83
196,Trix Beardon,71.51
197,Salvador Milley,53.48
198,Courtney Greenhead,63.11
199,Burnard Eastgate,95.47
200,Darice Steljes,52.39
201,Dexter Hyatt,29.49
202,Maryellen Honnan,81.5
203,Adolf Masdin,67.57
204,Delbert Muat,25.9
205,Briano Baroch,21.93
206,Bessy Petteford,33.47
207,Ilise Curr,37.0
208,Jobyna Coxen,93.08
209,Georgine Olivo,12.95
210,Janna Mariyushkin,6.68
211,Beverley Seabert,71.33
212,Madison Yerborn,33.65
213,Kelly Halfacre,43.31
214,Clementine Kures,68.54
215,Pattin Gerry,78.21
216,Beltran Husselbee,26.39
217,Caitrin Pennell,33.1
218,Gigi Cowen,68.41
219,Gauthier Briance,43.92
220,Elspeth Dy,64.61
221,Shay Paskin,42.17
222,Hailey De Angelo,26.1
223,Wynn Casari,49.03
224,Odessa Child,57.39
225,Gabriella O'Hoey,3.58
226,Loretta Padley,83.75
227,Allard Fyfield,56.51
228,Orazio Lantry,98.17
229,Daniela Ebbers,3.75
230,Josselyn Bigly,71.52
231,Niels Grovier,28.78
232,Clerc Elsop,11.58
233,Brant Dillinger,48.62
234,Delcina Tubby,12.37
235,Thorin Callard,51.58
236,Lavena McOrkil,84.78
237,Oberon Needham,87.55
238,Amil Milward,18.1
239,Marie McGorman,16.29
240,Rhea Sterricks,33.7
241,Eugenia Heinschke,42.19
242,Nicol Ida,81.91
243,Glendon O'Hallihane,24.35
244,Dorothy Palethorpe,76.07
245,Devon Shalloo,13.46
246,Ann Lindhe,99.74
247,Athene Desson,75.41
248,Eachelle Neillans,4.01
249,Cesar Yeowell,13.62
250,Celisse Baglan,15.26
251,Robyn Ortelt,16.92
252,Tersina Lyster,58.53
253,Towny Beek,2.45
254,Kienan Patrone,9.45
255,Curtis Illing,38.62
256,Fiorenze Clixby,16.34
257,Petronella Wibrew,27.13
258,Wallas Schubart,54.45
259,Winna Rosenzwig,39.17
260,Web Shovel,47.05
261,Ernestus Ferronet,7.54
262,Ashby Puckrin,54.88
263,Karlan Youll,20.22
264,Jaquith Brogiotti,61.96
265,Yetta Olivet,3.7
266,Melonie Spyby,34.46
267,Koressa Sweetsur,25.18
268,Teodorico Mee,6.2
269,Tanny Marnes,89.11
270,Dilly Deluce,20.69
271,Bale Brigg,2.1
272,Cherie Hourahan,47.48
273,Marybelle Grigorey,71.5
274,Penny Heardman,58.16
275,Judith Cauldwell,98.13
276,Marley Yea,34.82
277,Roberta Spanswick,6.83
278,Danie Gaish,92.47
279,Sena Cathrae,51.8
280,Peadar Ingley,89.28
281,Lefty Paulley,96.97
282,Persis Mealham,27.44
283,Ken McCluskey,51.09
284,Florian Brounsell,90.39
285,Blane McGonigal,15.54
286,Teddie Calterone,98.48
287,Gusti Bumford,8.87
288,Ernest Alesi,0.72
289,Camilla Douse,70.47
290,Idell Gini,94.74
291,Raeann Blazewicz,63.69
292,Cissiee Hurdiss,23.05
293,Sawyer Bille,15.59
294,Wolf Connikie,12.07
295,Eugene Balmann,23.62
296,Godfree Blose,95.22
297,Elmira Alfwy,12.62
298,Zerk Bertomeu,24.87
299,Ephrem Baelde,99.06
300,Antonia Shillabeer,50.25
301,Hynda Booeln,90.65
302,Viola Bechley,83.99
303,Cornell Nodin,26.38
304,Xylina Tommasuzzi,46.74
305,Neille Aldous,63.93
306,Jobi Mountain,92.32
307,Cyb Covington,56.33
308,Caroline Grigoryov,64.75
309,Delmore Wagner,1.46
310,Whitman Braidwood,60.98
311,Kahaleel Kleinsmuntz,37.78
312,Reese Utley,56.34
313,Chelsie Lochhead,76.28
314,Anthony Marsland,51.17
315,Kettie Knightsbridge,52.07
316,Ninnetta Treffry,90.94
317,Jedidiah Ilyuchyov,88.65
318,Deonne Cicchinelli,57.68
319,Marius Gontier,42.96
320,Harlin Viccars,27.2
321,Lyda Antrim,58.21
322,Hendrick Cottesford,82.41
323,Anatola Lukash,45.83
324,Querida Edmons,81.92
325,Shayne McAnalley,29.86
326,Gunilla Colbourn,71.36
327,Lars Ruggier,35.81
328,Yelena Leversha,39.94
329,Jacqui Blackbourn,26.34
330,Cassaundra Unthank,18.35
331,Maressa Melia,40.1
332,Sloane Pulbrook,31.44
333,Gerianna Cullotey,41.87
334,Lola Slowey,3.44
335,Warner Dot,82.36
336,Morrie Heal,33.78
337,Joella Brack,57.26
338,Madison Livermore,52.6
339,Frances Vispo,5.73
340,Nerissa Evens,57.43
341,Erena Kollatsch,11.47
342,Samuel Mapp,23.95
343,Adriane Eddison,39.47
344,Montague Hounsom,63.35
345,Alikee Loakes,22.2
346,Maryrose Ayerst,62.77
347,Roderic Burghall,40.07
348,Nerta Collop,82.31
349,Elijah Dodell,2.88
350,Elvera Gaskell,98.56
351,Layne Gianetti,64.99
352,Stearne Carhart,21.37
353,Bendite Whitwam,73.29
354,Anabella Turnor,14.68
355,Winfred Lathwood,53.33
356,Auguste Eaken,21.88
357,Spike Rassmann,85.12
358,Evelina MacPharlain,92.7
359,Gertruda Durker,16.63
360,Arlyne Britten,96.5
361,Bellina Bursnall,77.94
362,Renado Nelle,6.91
363,Celestyna Lamberth,63.6
364,Jenni Fairlie,35.0
365,Cinda Waslin,92.44
366,Artur Basham,80.33
367,Hugo Sunley,47.26
368,Thaine Stearn,35.83
369,Vinny Hunton,7.79
370,Jaquelin Kiss,31.88
371,Levi Paddick,97.62
372,Alexis Murison,76.53
373,Urbano MacKeig,37.87
374,Erina Ledster,69.12
375,Donella Bartolomeo,2.95
376,Milka Hand,53.72
377,Greggory Candlin,84.43
378,Theresa Albrighton,59.42
379,Berti O'Sirin,7.83
380,Nollie Paine,26.0
381,Ronnie Deinert,61.7
382,Roselle Nannoni,86.82
383,Anastassia Gilgryst,33.67
384,Delinda Meads,72.43
385,Christalle Dannehl,73.32
386,Gearalt McQuilty,70.58
387,Brian Kelsey,19.15
388,Tonie Eye,0.33
389,Celestyn Bener,31.23
390,Colene Hegges,64.09
391,Vinita Tavner,77.22
392,Edward Mc Andrew,92.14
393,Cornell Askham,54.34
394,Oliy Shepperd,20.02
395,Lyndy Tanswill,86.95
396,Hunfredo Latek,25.26
397,Tyrone Copo,70.25
398,Maximo Bointon,33.36
399,Poul Tuplin,59.98
400,Arron Roughley,57.91
